synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_date,registration_date,pending_since,filing_year,filing_year_bucket,case_age_days,current_status,current_stage,stage_entered_at,first_hearing_date,next_date,court_bench_id,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,is_demo_stalled,is_demo_progressing,data_label,generation_source,evidence_json,explanation_text
SYN/KL/BA/2020/005546,Kerala,Jaipur,KERALA_DC_01,BA,BAIL_GENERAL,district,2020-09-16,2020-09-24,2020-09-24,2020,2020,2160,Pending,Summons / Appearance,2026-03-17,2020-10-17,2026-09-08,SYN-BENCH-06,152,88,0,0,4,1.2,6,,JUDGE_CHANGE,MEDIUM,LOW,1,20.9,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/BA/2020/005546"",""court_establishment"":""KERALA_DC_01"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2020-09-16"",""stage_entered_at"":""2026-03-17"",""days_in_current_stage"":152,""cohort_median_days_in_stage"":127.0,""stage_deviation_ratio"":1.2,""days_since_substantive_event"":88,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":4,""cohort_size"":6,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":20.9,""component_scores"":{""structural_deviation"":24.0,""inactivity"":14.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Summons / Appearance' for 152 days (1.2x cohort median of 127d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/DL/WP_C/2024/005547,Delhi,Delhi,DELHI_DC_02,WP_C,WRIT_GENERAL,district,2024-02-09,2024-02-13,2024-02-13,2024,2024,919,Pending,Filing / Registration,2026-08-08,2024-04-06,2026-10-19,SYN-BENCH-12,8,13,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,7.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/WP_C/2024/005547"",""court_establishment"":""DELHI_DC_02"",""case_type"":""WP_C"",""current_stage"":""Filing / Registration"",""filing_date"":""2024-02-09"",""stage_entered_at"":""2026-08-08"",""days_in_current_stage"":8,""cohort_median_days_in_stage"":8,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":13,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.1,""component_scores"":{""structural_deviation"":20.0,""inactivity"":4.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Filing / Registration' for 8 days (1.0x cohort median of 8d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/CRL_A/2020/005548,Kerala,Delhi,KERALA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2020-02-09,2020-02-09,2020-02-09,2020,2020,2380,Pending,Evidence / Argument,2026-02-05,2020-03-13,2026-11-05,SYN-BENCH-06,192,182,1,1,0,0.74,2,,WITNESS_DELAY,MEDIUM,LOW,1,31.6,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2020/005548"",""court_establishment"":""KERALA_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Evidence / Argument"",""filing_date"":""2020-02-09"",""stage_entered_at"":""2026-02-05"",""days_in_current_stage"":192,""cohort_median_days_in_stage"":258.0,""stage_deviation_ratio"":0.74,""days_since_substantive_event"":182,""adjournment_streak"":1,""adjournment_count"":1,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""WITNESS_DELAY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":31.6,""component_scores"":{""structural_deviation"":14.8,""inactivity"":60.67,""age_deviation"":0,""adjournment"":20.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 192 days (0.74x cohort median of 258d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/BA/2022/005549,Gujarat,Varanasi,GUJARA_DC_04,BA,BAIL_GENERAL,district,2022-08-29,2022-09-02,2022-09-02,2022,2022,1448,Pending,Final Arguments / Judgment,2026-07-11,2022-10-23,2026-10-08,SYN-BENCH-06,36,9,0,0,1,0.67,3,,UNKNOWN,LOW,LOW,0,4.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2022/005549"",""court_establishment"":""GUJARA_DC_04"",""case_type"":""BA"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2022-08-29"",""stage_entered_at"":""2026-07-11"",""days_in_current_stage"":36,""cohort_median_days_in_stage"":54,""stage_deviation_ratio"":0.67,""days_since_substantive_event"":9,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":4.8,""component_scores"":{""structural_deviation"":13.4,""inactivity"":3.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 36 days (0.67x cohort median of 54d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/WP_C/2024/005550,West Bengal,Bhopal,WEST_B_DC_03,WP_C,WRIT_GENERAL,district,2024-04-11,2024-04-17,2024-04-17,2024,2024,857,Pending,Evidence / Argument,2025-10-29,2024-05-26,2026-11-04,SYN-BENCH-04,291,121,2,2,1,1.0,1,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,30.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/WP_C/2024/005550"",""court_establishment"":""WEST_B_DC_03"",""case_type"":""WP_C"",""current_stage"":""Evidence / Argument"",""filing_date"":""2024-04-11"",""stage_entered_at"":""2025-10-29"",""days_in_current_stage"":291,""cohort_median_days_in_stage"":291,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":121,""adjournment_streak"":2,""adjournment_count"":2,""judge_change_count"":1,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":30.1,""component_scores"":{""structural_deviation"":20.0,""inactivity"":40.33,""age_deviation"":0,""adjournment"":40.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 291 days (1.0x cohort median of 291d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/CRL_A/2022/005551,Haryana,Varanasi,HARYAN_DC_03,CRL_A,CRIMINAL_APPEAL,district,2022-10-21,2022-10-31,2022-10-31,2022,2022,1395,Pending,Pleadings / Issues,2026-04-09,2022-11-07,2026-09-23,SYN-BENCH-04,129,37,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,9.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2022/005551"",""court_establishment"":""HARYAN_DC_03"",""case_type"":""CRL_A"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2022-10-21"",""stage_entered_at"":""2026-04-09"",""days_in_current_stage"":129,""cohort_median_days_in_stage"":129,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":37,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":9.1,""component_scores"":{""structural_deviation"":20.0,""inactivity"":12.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 129 days (1.0x cohort median of 129d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/BA/2023/005552,Tamil Nadu,Kochi,TAMIL__DC_04,BA,BAIL_GENERAL,district,2023-03-23,2023-03-28,2023-03-28,2023,2022,1242,Pending,Summons / Appearance,2026-03-19,2023-05-20,2026-08-30,SYN-BENCH-10,150,86,0,0,2,1.0,1,,JUDGE_CHANGE,MEDIUM,LOW,1,23.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2023/005552"",""court_establishment"":""TAMIL__DC_04"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2023-03-23"",""stage_entered_at"":""2026-03-19"",""days_in_current_stage"":150,""cohort_median_days_in_stage"":150,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":86,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":2,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":23.2,""component_scores"":{""structural_deviation"":20.0,""inactivity"":28.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Summons / Appearance' for 150 days (1.0x cohort median of 150d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/BA/2023/005553,Madhya Pradesh,Guntur,MADHYA_DC_04,BA,BAIL_GENERAL,district,2023-12-30,2024-01-02,2024-01-02,2023,2022,960,Pending,Evidence / Argument,2026-03-04,2024-01-10,2026-08-26,SYN-BENCH-06,165,33,0,0,0,0.71,2,,UNKNOWN,LOW,LOW,0,7.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2023/005553"",""court_establishment"":""MADHYA_DC_04"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2023-12-30"",""stage_entered_at"":""2026-03-04"",""days_in_current_stage"":165,""cohort_median_days_in_stage"":231.0,""stage_deviation_ratio"":0.71,""days_since_substantive_event"":33,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.0,""component_scores"":{""structural_deviation"":14.2,""inactivity"":11.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 165 days (0.71x cohort median of 231d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/BA/2020/005554,Kerala,Guntur,KERALA_DC_04,BA,BAIL_GENERAL,district,2020-02-15,2020-02-18,2020-02-18,2020,2020,2374,Pending,Final Arguments / Judgment,2026-03-13,2020-03-10,2026-10-29,SYN-BENCH-02,156,151,0,0,2,1.01,5,,JUDGE_CHANGE,MEDIUM,LOW,1,28.6,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/BA/2020/005554"",""court_establishment"":""KERALA_DC_04"",""case_type"":""BA"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2020-02-15"",""stage_entered_at"":""2026-03-13"",""days_in_current_stage"":156,""cohort_median_days_in_stage"":155,""stage_deviation_ratio"":1.01,""days_since_substantive_event"":151,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":2,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":28.6,""component_scores"":{""structural_deviation"":20.2,""inactivity"":50.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Final Arguments / Judgment' for 156 days (1.01x cohort median of 155d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/CRL_A/2022/005555,Karnataka,Pune,KARNAT_DC_02,CRL_A,CRIMINAL_APPEAL,district,2022-09-09,2022-09-22,2022-09-22,2022,2022,1437,Pending,Summons / Appearance,2025-09-08,2022-10-28,2026-09-16,SYN-BENCH-05,342,291,3,3,1,1.71,5,,SUMMONS_DELAY,HIGH,LOW,1,60.5,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2022/005555"",""court_establishment"":""KARNAT_DC_02"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-09-09"",""stage_entered_at"":""2025-09-08"",""days_in_current_stage"":342,""cohort_median_days_in_stage"":200,""stage_deviation_ratio"":1.71,""days_since_substantive_event"":291,""adjournment_streak"":3,""adjournment_count"":3,""judge_change_count"":1,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":60.5,""component_scores"":{""structural_deviation"":34.2,""inactivity"":97.0,""age_deviation"":0,""adjournment"":60.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 342 days (1.71x cohort median of 200d). Summons was issued with no return of service recorded over 342 days, resulting in 3 consecutive adjournments. High administrative actionability."
SYN/UP/MACA/2020/005556,Uttar Pradesh,Thane,UTTAR__DC_04,MACA,MOTOR_ACCIDENT,district,2020-01-02,2020-01-14,2020-01-14,2020,2020,2418,Pending,Evidence / Argument,2026-04-10,2020-02-25,2026-09-28,SYN-BENCH-04,128,37,0,0,1,0.96,2,,UNKNOWN,LOW,LOW,0,8.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/MACA/2020/005556"",""court_establishment"":""UTTAR__DC_04"",""case_type"":""MACA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2020-01-02"",""stage_entered_at"":""2026-04-10"",""days_in_current_stage"":128,""cohort_median_days_in_stage"":133.0,""stage_deviation_ratio"":0.96,""days_since_substantive_event"":37,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":8.8,""component_scores"":{""structural_deviation"":19.2,""inactivity"":12.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 128 days (0.96x cohort median of 133d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/WP_C/2020/005557,Punjab,Thiruvananthapuram,PUNJAB_DC_02,WP_C,WRIT_GENERAL,district,2020-02-08,2020-02-17,2020-02-17,2020,2020,2381,Pending,Pleadings / Issues,2026-02-01,2020-04-03,2026-10-05,SYN-BENCH-05,196,331,0,0,2,1.0,1,,JUDGE_CHANGE,MEDIUM,LOW,1,41.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/WP_C/2020/005557"",""court_establishment"":""PUNJAB_DC_02"",""case_type"":""WP_C"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2020-02-08"",""stage_entered_at"":""2026-02-01"",""days_in_current_stage"":196,""cohort_median_days_in_stage"":196,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":331,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":2,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":41.0,""component_scores"":{""structural_deviation"":20.0,""inactivity"":100.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Pleadings / Issues' for 196 days (1.0x cohort median of 196d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/KL/CRL_A/2023/005558,Kerala,Vijayawada,KERALA_DC_05,CRL_A,CRIMINAL_APPEAL,district,2023-05-24,2023-05-27,2023-05-27,2023,2022,1180,Pending,Pleadings / Issues,2025-09-17,2023-06-29,2026-08-24,SYN-BENCH-07,333,164,0,0,1,4.44,5,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,50.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2023/005558"",""court_establishment"":""KERALA_DC_05"",""case_type"":""CRL_A"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2023-05-24"",""stage_entered_at"":""2025-09-17"",""days_in_current_stage"":333,""cohort_median_days_in_stage"":75,""stage_deviation_ratio"":4.44,""days_since_substantive_event"":164,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":50.3,""component_scores"":{""structural_deviation"":88.8,""inactivity"":54.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Pleadings / Issues' for 333 days (4.44x cohort median of 75d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/BA/2023/005559,Punjab,Thane,PUNJAB_DC_01,BA,BAIL_GENERAL,district,2023-12-31,2024-01-05,2024-01-05,2023,2022,959,Pending,Summons / Appearance,2026-05-25,2024-02-02,2026-08-30,SYN-BENCH-06,83,41,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,9.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2023/005559"",""court_establishment"":""PUNJAB_DC_01"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2023-12-31"",""stage_entered_at"":""2026-05-25"",""days_in_current_stage"":83,""cohort_median_days_in_stage"":83,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":41,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":9.4,""component_scores"":{""structural_deviation"":20.0,""inactivity"":13.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 83 days (1.0x cohort median of 83d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/CS/2019/005560,Kerala,Thane,KERALA_DC_01,CS,CPC_GENERAL,district,2019-02-14,2019-02-24,2019-02-24,2019,2018,2740,Pending,Evidence / Argument,2026-01-10,2019-03-19,2026-10-20,SYN-BENCH-09,218,270,1,1,0,1.28,2,,WITNESS_DELAY,MEDIUM,LOW,1,42.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CS/2019/005560"",""court_establishment"":""KERALA_DC_01"",""case_type"":""CS"",""current_stage"":""Evidence / Argument"",""filing_date"":""2019-02-14"",""stage_entered_at"":""2026-01-10"",""days_in_current_stage"":218,""cohort_median_days_in_stage"":170.0,""stage_deviation_ratio"":1.28,""days_since_substantive_event"":270,""adjournment_streak"":1,""adjournment_count"":1,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""WITNESS_DELAY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":42.2,""component_scores"":{""structural_deviation"":25.6,""inactivity"":90.0,""age_deviation"":0,""adjournment"":20.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 218 days (1.28x cohort median of 170d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/AP/BA/2023/005561,Andhra Pradesh,Thane,ANDHRA_DC_04,BA,BAIL_GENERAL,district,2023-08-22,2023-08-24,2023-08-24,2023,2022,1090,Pending,Pleadings / Issues,2026-04-02,2023-09-26,2026-10-29,SYN-BENCH-10,136,30,0,0,0,1.01,9,,UNKNOWN,LOW,LOW,0,8.6,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/AP/BA/2023/005561"",""court_establishment"":""ANDHRA_DC_04"",""case_type"":""BA"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2023-08-22"",""stage_entered_at"":""2026-04-02"",""days_in_current_stage"":136,""cohort_median_days_in_stage"":134,""stage_deviation_ratio"":1.01,""days_since_substantive_event"":30,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":9,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":8.6,""component_scores"":{""structural_deviation"":20.2,""inactivity"":10.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 136 days (1.01x cohort median of 134d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CS/2022/005562,Gujarat,Vijayawada,GUJARA_DC_03,CS,CPC_GENERAL,district,2022-05-07,2022-05-16,2022-05-16,2022,2022,1562,Pending,Evidence / Argument,2026-02-14,2022-06-23,2026-09-04,SYN-BENCH-01,183,22,0,0,0,0.58,2,,UNKNOWN,LOW,LOW,0,5.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2022/005562"",""court_establishment"":""GUJARA_DC_03"",""case_type"":""CS"",""current_stage"":""Evidence / Argument"",""filing_date"":""2022-05-07"",""stage_entered_at"":""2026-02-14"",""days_in_current_stage"":183,""cohort_median_days_in_stage"":316.5,""stage_deviation_ratio"":0.58,""days_since_substantive_event"":22,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":5.3,""component_scores"":{""structural_deviation"":11.6,""inactivity"":7.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 183 days (0.58x cohort median of 316d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/MH/BA/2022/005563,Maharashtra,Vijayawada,MAHARA_DC_04,BA,BAIL_GENERAL,district,2022-11-08,2022-11-20,2022-11-20,2022,2022,1377,Pending,Evidence / Argument,2025-08-26,2023-01-07,2026-08-26,SYN-BENCH-08,355,187,2,2,0,1.85,12,,WITNESS_DELAY,MEDIUM,LOW,1,40.7,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/BA/2022/005563"",""court_establishment"":""MAHARA_DC_04"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2022-11-08"",""stage_entered_at"":""2025-08-26"",""days_in_current_stage"":355,""cohort_median_days_in_stage"":191.5,""stage_deviation_ratio"":1.85,""days_since_substantive_event"":187,""adjournment_streak"":2,""adjournment_count"":2,""judge_change_count"":0,""cohort_size"":12,""cohort_age_percentile"":null,""bottleneck_type"":""WITNESS_DELAY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":40.7,""component_scores"":{""structural_deviation"":37.0,""inactivity"":62.33,""age_deviation"":0,""adjournment"":40.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 355 days (1.85x cohort median of 192d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/KL/WP_C/2024/005564,Kerala,Thiruvananthapuram,KERALA_DC_01,WP_C,WRIT_GENERAL,district,2024-01-13,2024-01-25,2024-01-25,2024,2024,946,Pending,Final Arguments / Judgment,2026-06-24,2024-02-02,2026-08-27,SYN-BENCH-07,53,18,0,0,0,0.86,2,,UNKNOWN,LOW,LOW,0,6.7,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/WP_C/2024/005564"",""court_establishment"":""KERALA_DC_01"",""case_type"":""WP_C"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2024-01-13"",""stage_entered_at"":""2026-06-24"",""days_in_current_stage"":53,""cohort_median_days_in_stage"":61.5,""stage_deviation_ratio"":0.86,""days_since_substantive_event"":18,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.7,""component_scores"":{""structural_deviation"":17.2,""inactivity"":6.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 53 days (0.86x cohort median of 62d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/WP_C/2023/005565,Kerala,Delhi,KERALA_DC_02,WP_C,WRIT_GENERAL,district,2023-07-15,2023-07-18,2023-07-18,2023,2022,1128,Pending,Evidence / Argument,2026-01-22,2023-07-27,2026-11-04,SYN-BENCH-05,206,34,0,0,0,1.03,5,,UNKNOWN,LOW,LOW,0,9.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/WP_C/2023/005565"",""court_establishment"":""KERALA_DC_02"",""case_type"":""WP_C"",""current_stage"":""Evidence / Argument"",""filing_date"":""2023-07-15"",""stage_entered_at"":""2026-01-22"",""days_in_current_stage"":206,""cohort_median_days_in_stage"":200,""stage_deviation_ratio"":1.03,""days_since_substantive_event"":34,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":9.0,""component_scores"":{""structural_deviation"":20.6,""inactivity"":11.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 206 days (1.03x cohort median of 200d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/BA/2022/005566,Gujarat,Thane,GUJARA_DC_01,BA,BAIL_GENERAL,district,2022-11-17,2022-11-18,2022-11-18,2022,2022,1368,Pending,Summons / Appearance,2026-02-27,2023-01-08,2026-09-03,SYN-BENCH-05,170,95,6,6,1,1.51,2,,SUMMONS_DELAY,HIGH,LOW,1,47.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2022/005566"",""court_establishment"":""GUJARA_DC_01"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-11-17"",""stage_entered_at"":""2026-02-27"",""days_in_current_stage"":170,""cohort_median_days_in_stage"":112.5,""stage_deviation_ratio"":1.51,""days_since_substantive_event"":95,""adjournment_streak"":6,""adjournment_count"":6,""judge_change_count"":1,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":47.0,""component_scores"":{""structural_deviation"":30.2,""inactivity"":31.67,""age_deviation"":0,""adjournment"":100.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 170 days (1.51x cohort median of 112d). Summons was issued with no return of service recorded over 170 days, resulting in 6 consecutive adjournments. High administrative actionability."
